,F,M,gap
Cardiomegaly,0.8655325344758333,0.8721696336325868,0.006637099156753479
Effusion,0.8159076042344112,0.8339691381167789,0.018061533882367642
Atelectasis,0.7520617072280791,0.7727654725340809,0.02070376530600182
Pneumothorax,0.8667072613465773,0.8559175949539759,0.010789666392601371
