label,F_tpr,F_fpr,M_tpr,M_fpr,tpr_gap,fpr_gap
Cardiomegaly,0.7708333333333334,0.1979381443298969,0.7911275415896488,0.21404658948249408,0.02029420825631545,0.016108445152597184
Effusion,0.7808433107756377,0.2921974522292994,0.7821637426900585,0.26904389360125175,0.0013204319144207721,0.023153558628047632
Atelectasis,0.7028613352898019,0.32983957219251336,0.7536534446764092,0.3412790249170717,0.050792109386607276,0.011439452724558319
Pneumothorax,0.8617886178861789,0.270378572181799,0.7370990237099023,0.17240609892153216,0.12468959417627656,0.09797247326026684
