,40-60,60-80,80+,<40,gap
Cardiomegaly,0.8834442745157032,0.8352431615464874,0.8948243114909782,0.8660957038504394,0.05958114994449082
Effusion,0.821774849314177,0.8336353805503453,0.797623089983022,0.82541400795043,0.036012290567323246
Atelectasis,0.7514827013551899,0.7594700441211415,0.6221259179005658,0.7796317529290451,0.15750583502847926
Pneumothorax,0.8608476431741212,0.8607940513816684,0.7596371882086168,0.8618467960743612,0.1022096078657444
