,0
Atelectasis,0.7578680112782286
Cardiomegaly,0.8755605312315005
Consolidation,0.7135481298859201
Edema,0.8446777095937952
Effusion,0.8131309888440139
Emphysema,0.8930618263374044
Fibrosis,0.8261302925672752
Hernia,0.8674844405055627
Infiltration,0.6893874909962695
Mass,0.8015531523170716
Nodule,0.7406973764402556
Pleural_Thickening,0.7715713651291638
Pneumonia,0.7098090325088537
Pneumothorax,0.8559431345598913
macro,0.7971731058710863
