,40-60,60-80,80+,<40,gap
Cardiomegaly,0.8900609445252302,0.8458246949941068,0.8665716999050332,0.8702110932276836,0.04423624953112337
Effusion,0.8125179759182344,0.8132418192205506,0.7654499151103565,0.810769965980742,0.04779190411019407
Atelectasis,0.7553913951143837,0.7393930872084755,0.6363308053448898,0.7700077655236212,0.13367696017873132
Pneumothorax,0.8595933386421818,0.8587301865312198,0.7845804988662131,0.8545201776364497,0.07501283977596873
