label,F_tpr,F_fpr,M_tpr,M_fpr,tpr_gap,fpr_gap
Cardiomegaly,0.8579545454545454,0.23632793323514972,0.7689463955637708,0.20979216069186776,0.08900814989077466,0.02653577254328196
Effusion,0.741280583029672,0.2783212010919017,0.7452485380116959,0.26130280820225643,0.003967954982023847,0.017018392889645295
Atelectasis,0.6713132795304475,0.3064171122994652,0.6988517745302714,0.30502198565146954,0.02753849499982386,0.0013951266479956814
Pneumothorax,0.8617886178861789,0.27754929874512285,0.7663877266387726,0.21338787653402752,0.09540089124740625,0.06416142221109533
