,F,M,gap
Cardiomegaly,0.8824785037413903,0.8673473847271665,0.015131119014223704
Effusion,0.8035457024250431,0.819889223353478,0.01634352092843494
Atelectasis,0.7487858255421157,0.7644598557931946,0.01567403025107894
Pneumothorax,0.8643879633987737,0.8487196144424337,0.01566834895633995
